experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
486,0.575,0.0,0,400,0,MD-B,smallworld
487,0.565,0.0,0,400,0,MD-B,smallworld
488,0.61,0.0,0,400,0,MD-B,smallworld
489,0.75,0.0,0,400,0,MD-B,smallworld
490,0.455,0.0,0,400,0,MD-B,smallworld
491,0.57,0.0,0,400,0,MD-B,smallworld
492,0.665,0.0,0,400,0,MD-B,smallworld
493,0.785,0.0,0,400,0,MD-B,smallworld
494,0.4825,0.0,0,400,0,MD-B,smallworld
495,0.65,0.0,0,400,0,MD-B,smallworld
496,0.6375,0.0,0,400,0,MD-B,smallworld
497,0.5075,0.0,0,400,0,MD-B,smallworld
498,0.575,0.0,0,400,0,MD-B,smallworld
499,0.635,0.0,0,400,0,MD-B,smallworld
500,0.655,0.0,0,400,0,MD-B,smallworld
501,0.755,0.0,0,400,0,MD-B,smallworld
502,0.36,0.0,0,400,0,MD-B,smallworld
503,0.6125,0.0,0,400,0,MD-B,smallworld
504,0.475,0.0,0,400,0,MD-B,smallworld
505,0.8,0.0,0,400,0,MD-B,smallworld
506,0.525,0.0,0,400,0,MD-B,smallworld
507,0.48,0.0,0,400,0,MD-B,smallworld
508,0.8125,0.0,0,400,0,MD-B,smallworld
509,0.59,0.0,0,400,0,MD-B,smallworld
510,0.45,0.0,0,400,0,MD-B,smallworld
511,0.5975,0.0,0,400,0,MD-B,smallworld
512,0.425,0.0,0,400,0,MD-B,smallworld
513,0.6425,0.0,0,400,0,MD-B,smallworld
514,0.6275,0.0,0,400,0,MD-B,smallworld
515,0.695,0.0,0,400,0,MD-B,smallworld
516,0.54,0.0,0,400,0,MD-B,smallworld
517,0.7425,0.0,0,400,0,MD-B,smallworld
518,0.645,0.0,0,400,0,MD-B,smallworld
519,0.7025,0.0,0,400,0,MD-B,smallworld
