experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
510,0.6675,0.0,0,400,0,MD-B,lattice
511,0.56,0.0,0,400,0,MD-B,lattice
512,0.5925,0.0,0,400,0,MD-B,lattice
513,0.47,0.0,0,400,0,MD-B,lattice
514,0.715,0.0,0,400,0,MD-B,lattice
515,0.64,0.0,0,400,0,MD-B,lattice
516,0.62,0.0,0,400,0,MD-B,lattice
517,0.5325,0.0,0,400,0,MD-B,lattice
518,0.62,0.0,0,400,0,MD-B,lattice
519,0.6875,0.0,0,400,0,MD-B,lattice
520,0.585,0.0,0,400,0,MD-B,lattice
521,0.76,0.0,0,400,0,MD-B,lattice
522,0.7775,0.0,0,400,0,MD-B,lattice
523,0.6825,0.0,0,400,0,MD-B,lattice
524,0.4375,0.0,0,400,0,MD-B,lattice
525,0.42,0.0,0,400,0,MD-B,lattice
526,0.655,0.0,0,400,0,MD-B,lattice
527,0.45,0.0,0,400,0,MD-B,lattice
528,0.6575,0.0,0,400,0,MD-B,lattice
529,0.5375,0.0,0,400,0,MD-B,lattice
530,0.48,0.0,0,400,0,MD-B,lattice
531,0.705,0.0,0,400,0,MD-B,lattice
532,0.5975,0.0,0,400,0,MD-B,lattice
533,0.7475,0.0,0,400,0,MD-B,lattice
534,0.63,0.0,0,400,0,MD-B,lattice
535,0.775,0.0,0,400,0,MD-B,lattice
536,0.6825,0.0,0,400,0,MD-B,lattice
537,0.555,0.0,0,400,0,MD-B,lattice
538,0.7025,0.0,0,400,0,MD-B,lattice
539,0.5125,0.0,0,400,0,MD-B,lattice
